loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
200,0.000,-6.889,16.732,-0.005,2.551,9.470,-0.504,-4.296,13.854,-0.005,2.575,9.648,-0.534,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1048,1257,946,2.655,9.430
201,0.000,-6.889,16.732,-0.005,2.541,9.509,-0.534,-4.296,13.854,-0.005,2.594,9.664,-0.443,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1048,1263,944,2.655,9.430
202,0.000,-6.911,16.732,0.005,2.599,9.514,-0.595,-4.296,13.854,0.000,2.580,9.698,-0.351,0.000,0.000,0.000,0.000,0,-0.002,0.010,785,1048,1260,944,2.564,9.430
203,0.000,-6.911,16.732,0.000,2.623,9.518,-0.656,-4.296,13.854,0.005,2.577,9.669,-0.198,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1049,1259,945,2.472,9.430
204,0.000,-6.932,16.732,0.000,2.628,9.523,-0.656,-4.296,13.854,-0.005,2.563,9.645,-0.473,0.000,0.000,0.000,0.000,0,-0.002,0.010,783,1048,1263,945,2.472,9.430
205,0.000,-6.932,16.732,0.000,2.597,9.504,-0.504,-4.296,13.854,-0.016,2.537,9.660,-0.595,0.000,0.000,0.000,0.000,0,-0.002,0.009,784,1047,1263,943,2.564,9.430
206,0.000,-6.954,16.732,0.000,2.570,9.490,-0.595,-4.296,13.854,0.000,2.606,9.664,-0.473,0.000,0.000,0.000,0.000,0,-0.002,0.011,784,1048,1261,946,2.564,9.430
207,0.000,-6.954,16.732,0.000,2.565,9.475,-0.748,-4.296,13.854,0.005,2.580,9.686,-0.351,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1048,1258,945,2.564,9.522
208,0.000,-6.976,16.732,0.000,2.611,9.502,-0.626,-4.296,13.854,-0.005,2.558,9.705,-0.443,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1048,1261,942,2.564,9.430
209,0.000,-6.976,16.732,-0.016,2.623,9.499,-0.504,-4.296,13.854,0.005,2.599,9.652,-0.717,0.000,0.000,0.000,0.000,0,-0.001,0.010,787,1048,1261,946,2.564,9.430
210,0.000,-6.976,16.732,0.005,2.623,9.497,-0.443,-4.296,13.854,0.000,2.599,9.616,-0.809,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1051,1260,948,2.564,9.430
211,0.000,-6.998,16.732,0.000,2.652,9.463,-0.565,-4.296,13.854,-0.016,2.594,9.593,-0.595,0.000,0.000,0.000,0.000,0,-0.002,0.011,784,1048,1260,949,2.564,9.430
212,0.000,-6.998,16.732,-0.005,2.640,9.432,-0.687,-4.296,13.854,0.005,2.573,9.631,-0.504,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1048,1260,940,2.564,9.430
213,0.000,-6.998,16.732,0.005,2.664,9.509,-0.656,-4.296,13.854,0.005,2.546,9.664,-0.626,0.000,0.000,0.000,0.000,0,-0.001,0.010,784,1048,1261,940,2.564,9.430
214,0.000,-6.998,16.732,-0.005,2.573,9.504,-0.626,-4.296,13.854,0.000,2.623,9.638,-0.565,0.000,0.000,0.000,0.000,0,-0.002,0.010,789,1049,1261,944,2.564,9.430
215,0.000,-7.020,16.732,0.000,2.489,9.458,-0.687,-4.296,13.854,0.000,2.630,9.621,-0.473,0.000,0.000,0.000,0.000,0,-0.002,0.010,784,1046,1260,949,2.564,9.430
216,0.000,-7.020,16.732,0.005,2.561,9.454,-0.595,-4.274,13.854,0.005,2.616,9.638,-0.504,0.000,0.000,0.000,0.000,0,-0.001,0.007,784,1048,1260,947,2.655,9.430
217,0.000,-7.042,16.732,0.000,2.613,9.470,-0.565,-4.274,13.854,0.000,2.623,9.657,-0.473,0.000,0.000,0.000,0.000,0,-0.001,0.010,785,1048,1260,943,2.564,9.430
218,0.000,-7.042,16.732,0.005,2.587,9.473,-0.687,-4.274,13.854,-0.005,2.589,9.636,-0.534,0.000,0.000,0.000,0.000,0,-0.002,0.009,784,1048,1260,944,2.472,9.430
219,0.000,-7.042,16.732,0.005,2.592,9.478,-0.778,-4.274,13.854,0.000,2.606,9.640,-0.443,0.000,0.000,0.000,0.000,0,-0.002,0.010,782,1048,1261,945,2.472,9.430
220,0.000,-7.064,16.732,-0.016,2.628,9.470,-0.748,-4.274,13.854,-0.005,2.661,9.676,-0.473,0.000,0.000,0.000,0.000,0,-0.000,0.009,784,1048,1261,945,2.564,9.430
221,0.000,-7.064,16.732,0.000,2.563,9.478,-0.656,-4.274,13.854,0.000,2.628,9.660,-0.717,0.000,0.000,0.000,0.000,0,-0.001,0.009,785,1049,1260,945,2.564,9.430
222,0.000,-7.064,16.732,-0.005,2.575,9.525,-0.626,-4.252,13.854,0.000,2.597,9.628,-0.748,0.000,0.000,0.000,0.000,0,-0.004,0.009,784,1049,1261,945,2.564,9.430
223,0.000,-7.086,16.732,-0.016,2.570,9.502,-0.626,-4.252,13.854,0.005,2.656,9.626,-0.717,0.000,0.000,0.000,0.000,0,-0.003,0.009,784,1048,1261,945,2.564,9.430
224,0.000,-7.086,16.732,0.000,2.565,9.485,-0.809,-4.252,13.854,-0.005,2.714,9.602,-0.687,0.000,0.000,0.000,0.000,0,-0.002,0.009,783,1048,1261,945,2.564,9.430
225,0.000,-7.108,16.732,0.000,2.577,9.458,-0.778,-4.230,13.854,0.000,2.676,9.626,-0.595,0.000,0.000,0.000,0.000,0,-0.000,0.009,784,1049,1260,946,2.564,9.522
226,0.000,-7.108,16.732,0.005,2.589,9.458,-0.717,-4.230,13.854,0.005,2.625,9.648,-0.473,0.000,0.000,0.000,0.000,0,-0.002,0.009,786,1049,1261,946,2.564,9.430
227,0.000,-7.108,16.732,-0.005,2.625,9.487,-0.748,-4.230,13.854,0.005,2.601,9.607,-0.534,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1047,1261,946,2.564,9.430
228,0.000,-7.108,16.732,0.005,2.647,9.499,-0.748,-4.230,13.854,0.016,2.606,9.619,-0.595,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1049,1261,945,2.564,9.430
229,0.000,-7.108,16.732,0.000,2.661,9.492,-0.870,-4.230,13.854,0.005,2.649,9.628,-0.717,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1049,1262,945,2.564,9.430
230,0.000,-7.108,16.732,-0.005,2.623,9.485,-0.778,-4.208,13.854,-0.005,2.613,9.616,-0.565,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1049,1260,945,2.564,9.430
231,0.000,-7.130,16.732,0.005,2.635,9.490,-0.626,-4.208,13.854,-0.016,2.625,9.631,-0.504,0.000,0.000,0.000,0.000,0,-0.001,0.009,781,1049,1259,946,2.564,9.430
232,0.000,-7.130,16.732,0.000,2.592,9.473,-0.687,-4.208,13.854,0.000,2.630,9.631,-0.687,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1046,1261,945,2.655,9.430
233,0.000,-7.130,16.732,0.000,2.563,9.485,-0.809,-4.208,13.854,0.000,2.597,9.643,-0.748,0.000,0.000,0.000,0.000,0,-0.001,0.010,784,1049,1261,945,2.564,9.430
234,0.000,-7.130,16.732,0.000,2.604,9.458,-0.809,-4.208,13.854,0.000,2.640,9.619,-0.687,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1049,1260,945,2.564,9.430
235,0.000,-7.152,16.732,0.000,2.597,9.442,-0.900,-4.186,13.854,0.000,2.652,9.621,-0.534,0.000,0.000,0.000,0.000,0,-0.001,0.009,784,1049,1260,945,2.564,9.430
