loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
200,0.000,-1.505,16.139,0.000,3.028,9.499,0.565,-2.846,16.007,-0.005,3.406,9.202,0.656,0.000,0.000,0.000,0.000,0,0.287,-0.653,4095,4095,4012,4095,3.021,9.430
201,0.000,-1.483,16.139,0.000,3.114,9.514,0.687,-2.846,16.007,-0.005,3.382,9.224,0.656,0.000,0.000,0.000,0.000,0,0.285,-0.653,4095,4095,4011,4095,3.021,9.430
202,0.000,-1.483,16.139,0.016,3.121,9.535,0.656,-2.867,16.007,-0.005,3.423,9.226,0.626,0.000,0.000,0.000,0.000,0,0.285,-0.653,4095,4095,4016,4095,3.021,9.430
203,0.000,-1.461,16.139,0.000,3.071,9.494,0.565,-2.867,16.007,0.000,3.396,9.183,0.626,0.000,0.000,0.000,0.000,0,0.287,-0.654,4095,4095,4010,4095,3.113,9.430
204,0.000,-1.461,16.139,0.000,3.111,9.516,0.504,-2.867,16.007,0.000,3.353,9.174,0.626,0.000,0.000,0.000,0.000,0,0.287,-0.654,4095,4095,4008,4095,3.113,9.522
205,0.000,-1.461,16.139,-0.016,3.085,9.535,0.595,-2.889,16.007,0.000,3.372,9.197,0.626,0.000,0.000,0.000,0.000,0,0.286,-0.653,4095,4095,4004,4095,3.021,9.430
206,0.000,-1.439,16.139,-0.005,3.020,9.487,0.443,-2.889,16.007,-0.005,3.401,9.219,0.626,0.000,0.000,0.000,0.000,0,0.286,-0.654,4095,4095,4009,4095,3.021,9.430
207,0.000,-1.439,16.139,0.000,3.032,9.458,0.473,-2.889,16.007,0.000,3.399,9.202,0.687,0.000,0.000,0.000,0.000,0,0.286,-0.654,4095,4095,4011,4095,3.021,9.522
208,0.000,-1.439,16.139,0.000,3.107,9.470,0.687,-2.911,16.007,0.000,3.384,9.221,0.839,0.000,0.000,0.000,0.000,0,0.286,-0.654,4095,4095,4011,4095,3.021,9.430
209,0.000,-1.417,16.139,-0.005,3.056,9.494,0.687,-2.911,16.007,0.000,3.406,9.243,0.778,0.000,0.000,0.000,0.000,0,0.286,-0.654,4095,4095,4010,4095,3.021,9.430
