loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
245,0.000,109.744,88.650,0.005,7.811,6.001,1.450,105.965,84.255,0.005,8.072,5.939,1.175,0.000,0.000,0.000,0.000,0,-0.923,-0.905,472,1708,1035,199,7.782,5.951
246,0.000,109.744,88.650,0.000,7.768,5.977,1.511,105.943,84.255,0.005,8.103,5.937,1.328,0.000,0.000,0.000,0.000,0,-0.924,-0.905,473,1707,1034,199,7.782,5.951
247,0.000,109.744,88.650,0.000,7.737,5.948,1.480,105.943,84.255,0.000,8.087,5.946,1.450,0.000,0.000,0.000,0.000,0,-0.924,-0.906,472,1705,1035,199,7.782,5.951
248,0.000,109.744,88.650,-0.005,7.742,5.944,1.450,105.943,84.255,0.005,8.063,5.956,1.480,0.000,0.000,0.000,0.000,0,-0.925,-0.905,471,1707,1036,198,7.782,5.951
249,0.000,109.744,88.650,0.000,7.742,5.965,1.450,105.943,84.255,0.000,8.103,5.958,1.358,0.000,0.000,0.000,0.000,0,-0.925,-0.906,472,1707,1034,200,7.691,5.951
250,0.000,109.766,88.650,0.000,7.775,5.992,1.480,105.943,84.255,0.005,8.118,5.929,1.297,0.000,0.000,0.000,0.000,0,-0.924,-0.905,473,1706,1034,198,7.691,5.859
251,0.000,109.766,88.650,0.005,7.730,5.982,1.419,105.921,84.255,0.000,8.082,5.925,1.236,0.000,0.000,0.000,0.000,0,-0.925,-0.905,471,1706,1034,198,7.691,5.859
252,0.000,109.766,88.650,0.000,7.689,5.956,1.358,105.921,84.255,0.000,8.063,5.958,1.236,0.000,0.000,0.000,0.000,0,-0.925,-0.905,472,1706,1033,198,7.691,5.951
253,0.000,109.766,88.650,-0.005,7.773,5.987,1.328,105.921,84.255,0.000,8.063,5.963,1.358,0.000,0.000,0.000,0.000,0,-0.925,-0.906,472,1706,1035,197,7.691,5.951
254,0.000,109.766,88.650,0.000,7.730,5.982,1.511,105.899,84.255,0.005,8.070,5.980,1.389,0.000,0.000,0.000,0.000,0,-0.925,-0.905,470,1706,1034,198,7.691,5.951
255,0.000,109.766,88.650,0.000,7.670,5.948,1.541,105.899,84.255,0.000,8.084,5.996,1.450,0.000,0.000,0.000,0.000,0,-0.924,-0.906,472,1706,1036,198,7.599,5.951
256,0.000,109.766,88.650,0.000,7.715,5.980,1.450,105.899,84.255,-0.005,8.087,5.977,1.450,0.000,0.000,0.000,0.000,0,-0.924,-0.906,472,1704,1037,197,7.691,5.951
257,0.000,109.766,88.650,0.000,7.720,6.013,1.480,105.877,84.255,0.000,8.110,5.941,1.419,0.000,0.000,0.000,0.000,0,-0.925,-0.906,471,1708,1035,196,7.691,5.951
258,0.000,109.766,88.650,-0.016,7.739,6.016,1.480,105.877,84.255,0.000,8.079,5.982,1.480,0.000,0.000,0.000,0.000,0,-0.925,-0.906,471,1707,1033,197,7.599,5.859
259,0.000,109.766,88.650,0.000,7.754,5.975,1.480,105.877,84.255,0.000,8.020,5.994,1.572,0.000,0.000,0.000,0.000,0,-0.925,-0.906,471,1705,1034,198,7.691,5.951
260,0.000,109.766,88.650,0.000,7.711,5.977,1.450,105.855,84.255,-0.005,8.017,5.963,1.480,0.000,0.000,0.000,0.000,0,-0.924,-0.906,472,1707,1033,198,7.691,5.951
261,0.000,109.766,88.650,-0.016,7.701,5.994,1.419,105.855,84.255,0.000,8.039,5.970,1.205,0.000,0.000,0.000,0.000,0,-0.925,-0.905,472,1708,1032,197,7.691,5.951
262,0.000,109.766,88.650,0.005,7.701,5.987,1.358,105.833,84.255,-0.016,7.969,6.032,1.236,0.000,0.000,0.000,0.000,0,-0.925,-0.906,472,1705,1032,198,7.691,5.951
263,0.000,109.766,88.650,0.005,7.747,5.994,1.389,105.833,84.255,0.000,8.039,6.006,1.175,0.000,0.000,0.000,0.000,0,-0.925,-0.905,472,1706,1030,197,7.691,5.951
264,0.000,109.766,88.650,0.000,7.785,6.013,1.328,105.811,84.255,0.000,8.077,5.975,1.175,0.000,0.000,0.000,0.000,0,-0.925,-0.905,472,1708,1030,199,7.691,5.951
265,0.000,109.766,88.650,-0.016,7.763,6.011,1.328,105.811,84.255,0.005,8.005,6.006,1.175,0.000,0.000,0.000,0.000,0,-0.924,-0.905,472,1705,1032,199,7.691,5.951
266,0.000,109.766,88.650,0.016,7.780,6.020,1.389,105.789,84.255,0.000,8.005,5.980,1.236,0.000,0.000,0.000,0.000,0,-0.925,-0.905,471,1706,1032,198,7.691,5.951
267,0.000,109.766,88.650,0.005,7.771,6.011,1.450,105.789,84.255,-0.005,7.974,5.948,1.297,0.000,0.000,0.000,0.000,0,-0.925,-0.906,470,1707,1034,199,7.782,5.951
268,0.000,109.766,88.650,0.000,7.739,6.016,1.419,105.767,84.255,0.000,8.010,5.941,1.205,0.000,0.000,0.000,0.000,0,-0.926,-0.906,472,1704,1032,198,7.691,5.951
269,0.000,109.766,88.650,-0.005,7.818,6.063,1.266,105.767,84.255,0.005,8.070,5.934,1.205,0.000,0.000,0.000,0.000,0,-0.925,-0.905,472,1708,1032,198,7.691,5.951
270,0.000,109.766,88.650,-0.005,7.782,6.061,1.236,105.767,84.255,-0.005,8.003,5.948,1.144,0.000,0.000,0.000,0.000,0,-0.925,-0.905,470,1708,1032,197,7.691,5.951
271,0.000,109.744,88.650,0.000,7.723,6.063,1.236,105.767,84.255,0.005,8.003,5.968,0.931,0.000,0.000,0.000,0.000,0,-0.926,-0.906,471,1705,1033,198,7.691,5.951
272,0.000,109.744,88.650,0.005,7.775,6.075,1.358,105.745,84.255,0.000,8.010,5.984,1.053,0.000,0.000,0.000,0.000,0,-0.925,-0.906,471,1707,1034,197,7.782,6.043
