loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
200,0.000,-0.714,11.173,0.005,3.229,9.391,0.168,-0.143,10.404,-0.005,3.645,9.188,0.259,0.000,0.000,0.000,0.000,0,0.304,-0.660,4095,4095,4095,4095,3.204,9.339
201,0.000,-0.714,11.173,0.000,3.363,9.391,0.229,-0.143,10.404,-0.016,3.616,9.224,0.229,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
202,0.000,-0.714,11.173,0.000,3.312,9.382,0.229,-0.143,10.404,0.000,3.605,9.200,0.168,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.296,9.339
203,0.000,-0.692,11.173,0.000,3.248,9.434,0.290,-0.143,10.404,0.000,3.662,9.183,0.168,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.296,9.339
204,0.000,-0.714,11.173,0.000,3.255,9.437,0.381,-0.143,10.404,0.005,3.636,9.171,0.320,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
205,0.000,-0.714,11.173,0.000,3.293,9.420,0.473,-0.143,10.404,0.000,3.616,9.214,0.290,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.296,9.339
206,0.000,-0.692,11.173,0.005,3.284,9.437,0.351,-0.143,10.404,0.000,3.662,9.224,0.259,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.296,9.339
207,0.000,-0.692,11.173,0.000,3.226,9.415,0.107,-0.143,10.404,-0.005,3.660,9.205,0.351,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.430
208,0.000,-0.714,11.173,0.000,3.255,9.427,0.046,-0.143,10.404,-0.005,3.616,9.207,0.381,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.204,9.430
209,0.000,-0.714,11.173,0.000,3.298,9.439,0.168,-0.143,10.404,0.000,3.585,9.197,0.259,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
210,0.000,-0.692,11.173,0.000,3.279,9.408,0.290,-0.143,10.404,0.000,3.636,9.195,0.168,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.204,9.430
211,0.000,-0.692,11.173,0.005,3.253,9.387,0.412,-0.143,10.404,-0.016,3.662,9.202,0.259,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
212,0.000,-0.692,11.173,-0.005,3.269,9.408,0.290,-0.143,10.404,-0.005,3.640,9.193,0.290,0.000,0.000,0.000,0.000,0,0.305,-0.660,4095,4095,4095,4095,3.204,9.339
213,0.000,-0.692,11.173,0.000,3.281,9.430,0.259,-0.143,10.404,0.000,3.612,9.183,0.290,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.296,9.430
214,0.000,-0.692,11.173,0.000,3.269,9.382,0.168,-0.143,10.404,-0.005,3.638,9.195,0.473,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
215,0.000,-0.692,11.173,0.000,3.226,9.351,0.076,-0.143,10.404,0.000,3.650,9.202,0.381,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.204,9.339
216,0.000,-0.692,11.173,0.000,3.286,9.406,0.229,-0.143,10.404,-0.005,3.631,9.207,0.290,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
217,0.000,-0.692,11.173,0.005,3.298,9.423,0.351,-0.143,10.404,0.005,3.645,9.188,0.229,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.430
218,0.000,-0.692,11.173,-0.016,3.238,9.403,0.443,-0.143,10.404,0.000,3.609,9.159,0.198,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
219,0.000,-0.692,11.173,0.016,3.257,9.425,0.381,-0.165,10.404,0.005,3.612,9.188,0.320,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
220,0.000,-0.692,11.173,0.000,3.262,9.430,0.412,-0.165,10.404,-0.005,3.660,9.219,0.320,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
221,0.000,-0.692,11.173,-0.005,3.243,9.396,0.443,-0.165,10.404,0.016,3.645,9.212,0.381,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.296,9.339
222,0.000,-0.714,11.173,0.005,3.209,9.382,0.412,-0.165,10.404,0.000,3.626,9.174,0.351,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
223,0.000,-0.714,11.173,0.000,3.305,9.391,0.320,-0.165,10.404,0.000,3.640,9.150,0.443,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
224,0.000,-0.692,11.173,0.000,3.341,9.423,0.229,-0.143,10.404,0.000,3.638,9.171,0.412,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.204,9.430
225,0.000,-0.692,11.173,0.000,3.265,9.379,0.107,-0.143,10.404,0.000,3.624,9.195,0.290,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
226,0.000,-0.692,11.173,0.000,3.248,9.363,0.229,-0.165,10.404,0.005,3.602,9.241,0.229,0.000,0.000,0.000,0.000,0,0.305,-0.661,4095,4095,4095,4095,3.204,9.339
227,0.000,-0.692,11.173,0.005,3.284,9.423,0.412,-0.165,10.404,0.000,3.612,9.229,0.107,0.000,0.000,0.000,0.000,0,0.304,-0.661,4095,4095,4095,4095,3.296,9.339
