loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
236,0.000,-3.263,20.775,0.005,2.609,9.533,-1.022,-3.351,15.985,0.000,2.451,9.734,-0.626,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.655,9.430
237,0.000,-3.263,20.775,-0.005,2.623,9.545,-0.900,-3.329,15.985,0.000,2.439,9.736,-0.656,0.000,0.000,0.000,0.000,6,0.274,-0.656,4095,4095,4095,4095,2.655,9.430
238,0.000,-3.263,20.775,0.000,2.656,9.552,-0.778,-3.329,15.985,-0.016,2.424,9.734,-0.534,0.000,0.000,0.000,0.000,6,0.275,-0.656,4095,4095,4095,4095,2.655,9.522
239,0.000,-3.263,20.775,0.000,2.606,9.540,-0.809,-3.329,15.985,0.000,2.439,9.731,-0.443,0.000,0.000,0.000,0.000,6,0.275,-0.656,4095,4095,4095,4095,2.564,9.522
240,0.000,-3.263,20.775,0.000,2.628,9.549,-0.931,-3.329,15.985,0.000,2.451,9.719,-0.534,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.564,9.522
241,0.000,-3.263,20.775,-0.005,2.692,9.549,-0.870,-3.329,15.985,0.000,2.407,9.722,-0.504,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.655,9.522
242,0.000,-3.263,20.775,-0.005,2.683,9.549,-0.809,-3.307,15.985,0.000,2.391,9.715,-0.443,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.564,9.522
243,0.000,-3.263,20.775,-0.005,2.644,9.549,-0.809,-3.307,15.985,0.005,2.427,9.717,-0.412,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.564,9.522
244,0.000,-3.241,20.775,0.000,2.656,9.542,-0.839,-3.307,15.985,-0.016,2.484,9.693,-0.534,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.655,9.522
245,0.000,-3.241,20.775,-0.005,2.640,9.549,-0.809,-3.307,15.985,0.000,2.496,9.734,-0.473,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
246,0.000,-3.263,20.775,0.000,2.587,9.564,-0.809,-3.285,15.985,-0.005,2.525,9.736,-0.595,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.564,9.522
247,0.000,-3.263,20.775,0.000,2.647,9.588,-0.809,-3.263,15.985,0.005,2.506,9.705,-0.595,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.655,9.522
248,0.000,-3.263,20.775,0.016,2.707,9.561,-0.809,-3.263,15.985,0.000,2.465,9.736,-0.412,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.564,9.522
249,0.000,-3.241,20.775,0.005,2.716,9.557,-0.748,-3.263,15.985,0.005,2.462,9.717,-0.412,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.564,9.522
250,0.000,-3.241,20.775,0.005,2.735,9.578,-0.687,-3.263,15.985,0.005,2.439,9.700,-0.443,0.000,0.000,0.000,0.000,6,0.273,-0.655,4095,4095,4095,4095,2.564,9.522
251,0.000,-3.219,20.775,0.000,2.700,9.561,-0.687,-3.241,15.985,0.000,2.465,9.717,-0.443,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
252,0.000,-3.219,20.775,-0.005,2.668,9.564,-0.687,-3.241,15.985,0.000,2.460,9.753,-0.259,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
253,0.000,-3.219,20.775,0.000,2.673,9.557,-0.717,-3.241,15.985,0.005,2.498,9.743,-0.168,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
254,0.000,-3.219,20.775,-0.005,2.642,9.542,-0.778,-3.219,15.985,0.000,2.537,9.719,-0.320,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
255,0.000,-3.219,20.775,0.005,2.640,9.578,-0.656,-3.219,15.985,0.005,2.474,9.688,-0.320,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.655,9.522
256,0.000,-3.219,20.775,0.000,2.697,9.590,-0.473,-3.197,15.985,0.000,2.503,9.722,-0.198,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.655,9.522
257,0.000,-3.219,20.775,0.000,2.685,9.581,-0.381,-3.197,15.985,0.005,2.551,9.767,-0.198,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.564,9.522
258,0.000,-3.219,20.775,-0.016,2.711,9.566,-0.534,-3.175,15.985,0.000,2.520,9.731,-0.168,0.000,0.000,0.000,0.000,6,0.274,-0.656,4095,4095,4095,4095,2.564,9.522
259,0.000,-3.197,20.775,-0.005,2.711,9.545,-0.565,-3.175,15.985,0.005,2.508,9.710,-0.290,0.000,0.000,0.000,0.000,6,0.274,-0.656,4095,4095,4095,4095,2.655,9.522
260,0.000,-3.197,20.775,0.000,2.601,9.537,-0.473,-3.153,15.985,-0.005,2.520,9.739,-0.259,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.655,9.522
261,0.000,-3.197,20.775,-0.005,2.664,9.566,-0.320,-3.153,15.985,-0.016,2.513,9.734,-0.076,0.000,0.000,0.000,0.000,6,0.274,-0.657,4095,4095,4095,4095,2.655,9.522
262,0.000,-3.197,20.775,0.005,2.735,9.590,-0.259,-3.153,15.985,0.016,2.551,9.724,0.015,0.000,0.000,0.000,0.000,6,0.274,-0.656,4095,4095,4095,4095,2.655,9.522
263,0.000,-3.197,20.775,-0.005,2.723,9.600,-0.320,-3.131,15.985,0.000,2.568,9.707,-0.076,0.000,0.000,0.000,0.000,6,0.273,-0.656,4095,4095,4095,4095,2.564,9.522
264,0.000,-3.197,20.775,-0.005,2.692,9.600,-0.320,-3.109,15.985,0.005,2.561,9.715,-0.015,0.000,0.000,0.000,0.000,6,0.275,-0.656,4095,4095,4095,4095,2.655,9.522
265,0.000,-3.197,20.775,-0.005,2.666,9.590,-0.229,-3.109,15.985,0.000,2.585,9.770,0.107,0.000,0.000,0.000,0.000,6,0.274,-0.656,4095,4095,4095,4095,2.655,9.522
266,0.000,-3.197,20.775,-0.005,2.673,9.602,-0.107,-3.087,15.985,0.005,2.637,9.789,0.137,0.000,0.000,0.000,0.000,6,0.275,-0.657,4095,4095,4095,4095,2.655,9.522
267,0.000,-3.197,20.775,0.000,2.642,9.578,-0.107,-3.065,15.985,0.000,2.618,9.767,0.168,0.000,0.000,0.000,0.000,6,0.273,-0.654,4095,4095,4095,4095,2.655,9.522
268,0.000,-3.197,20.775,0.000,2.644,9.540,-0.076,-3.043,15.985,0.005,2.553,9.748,0.137,0.000,0.000,0.000,0.000,6,0.273,-0.657,4095,4095,4095,4095,2.655,9.522
