loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
294,0.000,-5.702,18.095,-0.005,2.688,9.312,4.105,-4.779,12.887,0.000,2.707,9.662,3.708,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.339
295,0.000,-5.702,18.095,0.000,2.733,9.334,4.105,-4.779,12.887,0.016,2.774,9.657,3.647,0.000,0.000,0.000,0.000,6,0.266,-0.653,4095,4095,4095,4095,2.655,9.339
296,0.000,-5.680,18.095,0.016,2.731,9.327,4.135,-4.779,12.887,0.005,2.762,9.672,3.708,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
297,0.000,-5.680,18.095,0.016,2.690,9.320,4.196,-4.779,12.887,0.005,2.666,9.672,3.738,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
298,0.000,-5.680,18.117,0.005,2.685,9.341,4.410,-4.779,12.887,0.000,2.647,9.679,3.769,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
299,0.000,-5.680,18.117,0.000,2.752,9.379,4.471,-4.779,12.887,0.000,2.711,9.700,3.769,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
300,0.000,-5.658,18.117,0.005,2.757,9.387,4.501,-4.779,12.887,0.000,2.702,9.707,3.830,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
301,0.000,-5.658,18.117,0.000,2.680,9.348,4.471,-4.779,12.887,0.005,2.726,9.664,4.013,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.339
302,0.000,-5.658,18.117,0.000,2.752,9.389,4.410,-4.779,12.887,0.000,2.755,9.655,4.074,0.000,0.000,0.000,0.000,6,0.267,-0.653,4095,4095,4095,4095,2.747,9.339
303,0.000,-5.636,18.117,-0.027,2.735,9.372,4.501,-4.779,12.887,-0.005,2.719,9.679,4.135,0.000,0.000,0.000,0.000,6,0.267,-0.654,4095,4095,4095,4095,2.747,9.339
304,0.000,-5.636,18.117,0.000,2.668,9.291,4.379,-4.779,12.887,-0.005,2.714,9.717,4.013,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.339
305,0.000,-5.636,18.117,-0.005,2.700,9.308,4.349,-4.779,12.887,0.005,2.702,9.731,3.952,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.747,9.339
306,0.000,-5.614,18.117,-0.005,2.771,9.358,4.562,-4.779,12.887,-0.005,2.728,9.722,3.861,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.339
307,0.000,-5.614,18.139,-0.005,2.759,9.351,4.715,-4.779,12.887,0.005,2.740,9.695,3.952,0.000,0.000,0.000,0.000,6,0.266,-0.653,4095,4095,4095,4095,2.655,9.247
308,0.000,-5.614,18.139,0.005,2.688,9.327,4.746,-4.779,12.887,0.000,2.776,9.681,4.074,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
309,0.000,-5.592,18.139,0.000,2.759,9.327,4.746,-4.779,12.887,-0.005,2.774,9.739,4.105,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.747,9.339
310,0.000,-5.592,18.139,-0.005,2.767,9.334,4.623,-4.779,12.887,0.000,2.738,9.755,4.013,0.000,0.000,0.000,0.000,6,0.265,-0.654,4095,4095,4095,4095,2.747,9.339
311,0.000,-5.592,18.139,0.000,2.664,9.341,4.562,-4.779,12.887,-0.005,2.755,9.710,4.105,0.000,0.000,0.000,0.000,6,0.266,-0.654,4095,4095,4095,4095,2.655,9.247
