loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
214,0.000,-2.846,-0.538,0.000,5.173,8.568,3.372,-2.033,3.637,-0.005,4.198,8.618,2.213,0.000,0.000,0.000,0.000,6,0.226,-0.672,4095,4095,4095,4095,5.127,8.423
215,0.000,-2.824,-0.538,0.005,5.173,8.568,3.372,-2.011,3.659,0.016,4.220,8.628,2.121,0.000,0.000,0.000,0.000,6,0.226,-0.673,4095,4095,4095,4095,5.035,8.423
216,0.000,-2.802,-0.538,0.000,5.161,8.585,3.403,-1.989,3.702,0.000,4.299,8.608,1.938,0.000,0.000,0.000,0.000,6,0.226,-0.675,4095,4095,4095,4095,5.127,8.515
217,0.000,-2.780,-0.538,0.000,5.225,8.632,3.403,-1.967,3.724,0.000,4.390,8.635,1.785,0.000,0.000,0.000,0.000,6,0.226,-0.673,4095,4095,4095,4095,5.127,8.515
218,0.000,-2.736,-0.538,0.005,5.252,8.592,3.525,-1.923,3.746,0.027,4.483,8.613,1.663,0.000,0.000,0.000,0.000,6,0.226,-0.672,4095,4095,4095,4095,5.127,8.515
219,0.000,-2.736,-0.538,0.005,5.252,8.592,3.525,-1.879,3.790,0.016,4.584,8.551,1.633,0.000,0.000,0.000,0.000,6,0.225,-0.673,4095,4095,4095,4095,5.219,8.606
220,0.000,-2.714,-0.538,-0.016,5.321,8.616,3.494,-1.813,3.812,0.000,4.622,8.537,1.572,0.000,0.000,0.000,0.000,6,0.225,-0.672,4095,4095,4095,4095,5.219,8.606
221,0.000,-2.692,-0.560,0.005,5.297,8.630,3.494,-1.747,3.856,-0.016,4.732,8.585,1.511,0.000,0.000,0.000,0.000,6,0.225,-0.673,4095,4095,4095,4095,5.219,8.515
222,0.000,-2.670,-0.560,0.000,5.254,8.573,3.738,-1.681,3.878,0.000,4.828,8.616,1.602,0.000,0.000,0.000,0.000,6,0.224,-0.673,4095,4095,4095,4095,5.310,8.606
223,0.000,-2.648,-0.560,0.000,5.254,8.573,3.738,-1.593,3.922,-0.005,4.852,8.585,1.816,0.000,0.000,0.000,0.000,6,0.224,-0.673,4095,4095,4095,4095,5.219,8.606
