loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
218,0.000,-3.439,-1.351,0.000,5.743,8.122,-1.999,9.174,-1.132,0.000,5.704,8.130,0.046,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3839,4095,5.676,8.057
219,0.000,-3.417,-1.329,-0.005,5.762,8.189,-1.968,9.174,-1.132,0.000,5.690,8.139,-0.046,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3835,4095,5.676,8.057
220,0.000,-3.417,-1.329,0.016,5.750,8.199,-1.999,9.174,-1.132,0.000,5.668,8.137,0.000,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3829,4095,5.676,8.057
221,0.000,-3.395,-1.329,0.005,5.757,8.204,-1.755,9.196,-1.132,0.000,5.671,8.132,0.229,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3825,4095,5.676,8.148
222,0.000,-3.373,-1.329,0.005,5.805,8.213,-1.541,9.196,-1.132,0.000,5.642,8.142,0.320,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3823,4095,5.676,8.148
223,0.000,-3.373,-1.329,-0.005,5.767,8.189,-1.541,9.196,-1.132,0.000,5.580,8.139,0.229,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3822,4095,5.676,8.148
224,0.000,-3.351,-1.329,0.000,5.726,8.194,-1.480,9.196,-1.132,0.000,5.561,8.182,0.107,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3825,4095,5.676,8.148
225,0.000,-3.329,-1.329,-0.005,5.786,8.185,-1.541,9.196,-1.132,0.005,5.563,8.213,0.168,0.000,0.000,0.000,0.000,6,0.278,-0.694,4095,4095,3825,4095,5.768,8.148
226,0.000,-3.329,-1.307,0.016,5.762,8.151,-1.450,9.196,-1.132,0.000,5.613,8.180,0.198,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3824,4095,5.676,8.148
227,0.000,-3.307,-1.307,0.027,5.757,8.216,-1.328,9.218,-1.132,0.000,5.664,8.168,0.290,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3822,4095,5.676,8.148
228,0.000,-3.307,-1.307,-0.016,5.771,8.230,-1.144,9.218,-1.132,0.005,5.589,8.187,0.351,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3817,4095,5.768,8.148
229,0.000,-3.285,-1.307,0.000,5.757,8.213,-0.961,9.218,-1.132,0.000,5.553,8.166,0.259,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3815,4095,5.676,8.148
230,0.000,-3.263,-1.307,0.000,5.853,8.245,-0.870,9.218,-1.132,0.000,5.558,8.151,0.168,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3815,4095,5.676,8.148
231,0.000,-3.263,-1.307,0.000,5.846,8.271,-0.931,9.218,-1.132,-0.016,5.561,8.149,0.229,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3814,4095,5.768,8.148
232,0.000,-3.241,-1.307,-0.016,5.759,8.254,-0.900,9.218,-1.132,0.005,5.558,8.154,0.351,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3819,4095,5.676,8.148
233,0.000,-3.241,-1.285,-0.005,5.843,8.304,-0.565,9.218,-1.132,0.005,5.518,8.178,0.473,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3814,4095,5.768,8.240
234,0.000,-3.219,-1.285,-0.016,5.798,8.280,-0.412,9.218,-1.132,0.000,5.527,8.187,0.412,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3817,4095,5.768,8.240
235,0.000,-3.219,-1.285,-0.027,5.735,8.266,-0.412,9.218,-1.132,-0.016,5.527,8.154,0.351,0.000,0.000,0.000,0.000,6,0.278,-0.694,4095,4095,3819,4095,5.676,8.240
236,0.000,-3.197,-1.285,0.000,5.802,8.312,-0.534,9.240,-1.132,-0.005,5.477,8.154,0.320,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3817,4095,5.768,8.240
237,0.000,-3.197,-1.285,0.005,5.778,8.331,-0.473,9.240,-1.132,0.005,5.458,8.206,0.473,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3813,4095,5.768,8.240
238,0.000,-3.175,-1.285,0.000,5.757,8.331,-0.473,9.240,-1.132,0.005,5.465,8.199,0.412,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3809,4095,5.676,8.240
239,0.000,-3.153,-1.263,-0.005,5.769,8.309,-0.473,9.218,-1.132,0.000,5.458,8.182,0.412,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3807,4095,5.768,8.240
240,0.000,-3.153,-1.263,-0.005,5.757,8.362,-0.443,9.240,-1.132,-0.005,5.486,8.199,0.443,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3803,4095,5.768,8.331
241,0.000,-3.153,-1.263,-0.005,5.735,8.391,-0.443,9.240,-1.132,-0.016,5.498,8.213,0.473,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3804,4095,5.676,8.331
242,0.000,-3.131,-1.263,-0.005,5.781,8.369,-0.320,9.240,-1.132,0.000,5.489,8.221,0.381,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3805,4095,5.768,8.240
243,0.000,-3.131,-1.263,-0.005,5.807,8.403,-0.259,9.218,-1.132,0.005,5.458,8.213,0.473,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3805,4095,5.676,8.331
244,0.000,-3.109,-1.263,0.000,5.762,8.367,-0.351,9.218,-1.132,-0.005,5.403,8.197,0.504,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3805,4095,5.676,8.331
245,0.000,-3.109,-1.263,0.000,5.783,8.359,-0.473,9.218,-1.132,0.000,5.419,8.216,0.595,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3804,4095,5.768,8.331
246,0.000,-3.087,-1.263,-0.005,5.817,8.391,-0.351,9.218,-1.132,0.005,5.441,8.242,0.595,0.000,0.000,0.000,0.000,6,0.278,-0.694,4095,4095,3799,4095,5.768,8.331
247,0.000,-3.087,-1.263,-0.005,5.814,8.388,-0.320,9.218,-1.132,-0.005,5.410,8.201,0.565,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3797,4095,5.676,8.331
248,0.000,-3.065,-1.241,0.005,5.755,8.415,-0.351,9.218,-1.132,0.016,5.410,8.187,0.504,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3797,4095,5.768,8.331
249,0.000,-3.065,-1.241,0.005,5.824,8.462,-0.443,9.218,-1.154,-0.016,5.395,8.221,0.412,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3795,4095,5.768,8.331
250,0.000,-3.043,-1.241,0.000,5.958,8.498,-0.198,9.196,-1.154,0.005,5.371,8.225,0.320,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3798,4095,5.768,8.331
251,0.000,-3.043,-1.241,0.000,5.814,8.470,-0.107,9.196,-1.154,0.000,5.381,8.216,0.320,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3797,4095,5.676,8.331
252,0.000,-3.043,-1.241,0.005,5.759,8.477,-0.107,9.196,-1.154,0.000,5.405,8.197,0.351,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3796,4095,5.768,8.423
253,0.000,-3.021,-1.241,0.005,5.889,8.515,-0.168,9.196,-1.154,0.000,5.477,8.204,0.381,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3794,4095,5.951,8.423
254,0.000,-3.021,-1.241,0.000,5.893,8.532,-0.137,9.196,-1.154,0.000,5.443,8.161,0.473,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3789,4095,5.768,8.423
255,0.000,-2.999,-1.241,0.005,5.798,8.561,0.076,9.196,-1.154,-0.005,5.427,8.197,0.412,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3791,4095,5.676,8.423
256,0.000,-2.999,-1.241,-0.005,5.798,8.575,0.046,9.196,-1.154,0.005,5.381,8.237,0.473,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3791,4095,5.859,8.515
257,0.000,-2.999,-1.241,-0.005,5.850,8.573,-0.046,9.174,-1.154,0.000,5.367,8.264,0.351,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3791,4095,5.859,8.515
258,0.000,-2.977,-1.241,0.000,5.853,8.594,-0.015,9.174,-1.154,0.000,5.398,8.237,0.229,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3795,4095,5.768,8.515
259,0.000,-2.977,-1.241,0.000,5.805,8.589,0.107,9.174,-1.154,0.000,5.419,8.216,0.015,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3794,4095,5.768,8.515
260,0.000,-2.977,-1.241,0.016,5.860,8.611,0.259,9.174,-1.154,0.005,5.412,8.237,0.229,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3794,4095,5.768,8.515
261,0.000,-2.955,-1.220,0.005,5.881,8.630,0.107,9.174,-1.154,0.000,5.436,8.261,0.259,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3791,4095,5.768,8.515
262,0.000,-2.955,-1.220,0.000,5.790,8.594,0.015,9.174,-1.154,-0.005,5.470,8.237,0.290,0.000,0.000,0.000,0.000,6,0.278,-0.695,4095,4095,3789,4095,5.768,8.515
263,0.000,-2.955,-1.220,0.000,5.812,8.608,0.046,9.174,-1.154,0.000,5.474,8.213,0.290,0.000,0.000,0.000,0.000,6,0.278,-0.694,4095,4095,3789,4095,5.859,8.606
264,0.000,-2.933,-1.220,0.000,5.826,8.616,0.198,9.174,-1.154,0.000,5.455,8.206,0.229,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3789,4095,5.859,8.606
265,0.000,-2.933,-1.220,-0.016,5.807,8.637,0.443,9.174,-1.154,0.005,5.436,8.221,0.443,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3793,4095,5.768,8.515
266,0.000,-2.933,-1.220,0.000,5.874,8.601,0.473,9.152,-1.154,0.000,5.398,8.259,0.595,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3794,4095,5.768,8.606
267,0.000,-2.933,-1.220,-0.005,5.838,8.616,0.259,9.152,-1.154,0.000,5.410,8.283,0.534,0.000,0.000,0.000,0.000,6,0.278,-0.694,4095,4095,3794,4095,5.768,8.606
268,0.000,-2.911,-1.220,0.016,5.846,8.652,0.229,9.152,-1.176,0.000,5.407,8.269,0.443,0.000,0.000,0.000,0.000,6,0.279,-0.695,4095,4095,3794,4095,5.768,8.606
269,0.000,-2.911,-1.220,0.005,5.865,8.644,0.351,9.130,-1.176,0.000,5.374,8.249,0.443,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3791,4095,5.859,8.515
270,0.000,-2.911,-1.220,0.016,5.846,8.649,0.565,9.130,-1.176,0.005,5.364,8.273,0.259,0.000,0.000,0.000,0.000,6,0.279,-0.694,4095,4095,3789,4095,5.768,8.606
