loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
280,0.000,30.400,45.473,1.961,2.972,7.876,17.655,2.824,16.732,-0.423,1.785,7.457,12.375,0.000,0.000,0.000,0.000,0,0.153,0.009,862,1053,1453,1068,3.021,8.057
281,0.000,30.553,45.627,1.972,2.565,7.773,17.350,2.736,16.645,-0.434,2.218,7.483,12.192,0.000,0.000,0.000,0.000,0,0.152,0.010,858,1054,1455,1067,2.380,7.874
282,0.000,30.685,45.781,1.972,2.546,8.099,17.746,2.648,16.557,-0.423,2.755,7.545,12.314,0.000,0.000,0.000,0.000,0,0.150,0.010,858,1053,1455,1072,2.930,7.874
283,0.000,30.817,45.913,1.972,3.504,8.474,17.685,2.560,16.469,-0.401,2.683,7.553,12.528,0.000,0.000,0.000,0.000,0,0.148,0.010,859,1058,1456,1076,2.564,7.691
284,0.000,30.971,46.088,1.983,1.720,7.502,16.556,2.472,16.381,-0.412,2.115,7.414,12.528,0.000,0.000,0.000,0.000,0,0.146,0.013,859,1053,1457,1077,2.472,8.057
285,0.000,31.103,46.220,1.994,3.205,8.008,16.495,2.362,16.293,-0.434,1.814,7.208,12.284,0.000,0.000,0.000,0.000,0,0.144,0.010,863,1053,1459,1071,3.479,8.423
286,0.000,31.235,46.374,2.005,2.276,7.450,16.373,2.252,16.205,-0.423,1.806,7.320,11.887,0.000,0.000,0.000,0.000,0,0.142,0.010,859,1055,1458,1068,1.648,7.416
287,0.000,31.366,46.528,1.994,2.168,7.660,15.732,2.164,16.117,-0.434,2.158,7.677,11.704,0.000,0.000,0.000,0.000,0,0.141,0.011,862,1053,1456,1075,3.204,7.965
288,0.000,31.520,46.682,2.016,3.028,8.058,15.915,2.054,16.029,-0.434,2.455,7.687,11.673,0.000,0.000,0.000,0.000,0,0.140,0.011,859,1057,1459,1074,2.197,7.416
289,0.000,31.652,46.835,2.027,3.245,7.555,16.495,1.967,15.941,-0.445,2.283,7.569,11.704,0.000,0.000,0.000,0.000,0,0.137,0.010,859,1053,1458,1072,2.106,7.599
290,0.000,31.806,46.989,2.038,3.075,7.584,16.709,1.879,15.854,-0.434,2.237,7.505,11.765,0.000,0.000,0.000,0.000,0,0.134,0.011,860,1053,1462,1070,3.021,8.057
291,0.000,31.960,47.143,2.049,2.889,7.826,16.983,1.769,15.766,-0.445,2.326,7.332,11.765,0.000,0.000,0.000,0.000,0,0.132,0.011,860,1053,1457,1073,3.204,7.507
292,0.000,32.092,47.275,2.082,2.814,7.632,17.258,1.681,15.678,-0.456,2.484,7.332,12.100,0.000,0.000,0.000,0.000,0,0.133,0.011,862,1053,1456,1073,3.021,7.507
293,0.000,32.223,47.429,2.049,2.278,7.466,16.983,1.593,15.590,-0.445,2.723,7.378,12.436,0.000,0.000,0.000,0.000,0,0.136,0.011,860,1054,1454,1072,2.838,7.782
294,0.000,32.355,47.561,2.093,2.216,7.754,16.373,1.505,15.502,-0.434,2.355,7.457,12.345,0.000,0.000,0.000,0.000,0,0.132,0.012,859,1054,1456,1072,2.747,7.599
295,0.000,32.465,47.714,2.082,2.558,7.754,16.587,1.417,15.414,-0.445,1.964,7.593,11.917,0.000,0.000,0.000,0.000,0,0.129,0.011,860,1053,1462,1073,2.197,7.416
296,0.000,32.575,47.846,2.082,1.924,7.521,16.281,1.307,15.326,-0.445,2.022,7.562,11.612,0.000,0.000,0.000,0.000,0,0.126,0.011,859,1053,1462,1071,2.197,7.691
